Index,CCDS_ID
1,CCDS8420.1
2,CCDS10602.2
3,CCDS61917.1
4,CCDS62943.1
5,CCDS30926.2
6,CCDS43627.1
7,CCDS1828.1
8,CCDS63379.1
9,CCDS54458.1
10,CCDS1818.1
11,CCDS87529.1
12,CCDS9860.1
13,CCDS7895.1
14,CCDS43548.1
15,CCDS9791.1
16,CCDS62365.1
17,CCDS42735.1
18,CCDS59421.1
19,CCDS6808.1
20,CCDS55777.1
21,CCDS58499.1
22,CCDS42355.1
23,CCDS12237.1
24,CCDS62352.1
25,CCDS78025.1
26,CCDS41559.1
27,CCDS75569.1
28,CCDS42522.1
29,CCDS43116.1
30,CCDS64691.1
31,CCDS35430.1
32,CCDS47366.1
33,CCDS5291.1
34,CCDS3452.1
35,CCDS8125.1
36,CCDS64188.1
37,CCDS2949.1
38,CCDS77155.1
39,CCDS11440.1
40,CCDS4961.1
41,CCDS1816.1
42,CCDS9372.1
43,CCDS55081.1
44,CCDS44567.1
45,CCDS13986.1
46,CCDS92010.1
47,CCDS7213.1
48,CCDS7606.1
49,CCDS45832.1
50,CCDS42014.1
51,CCDS94143.1
52,CCDS9167.1
53,CCDS54850.1
54,CCDS45859.1
55,CCDS34419.1
56,CCDS300.1
57,CCDS75976.1
58,CCDS43441.1
59,CCDS13543.1
60,CCDS7987.1
61,CCDS35354.1
62,CCDS13394.1
63,CCDS6438.1
64,CCDS56124.1
65,CCDS94239.1
66,CCDS76035.1
67,CCDS77311.1
68,CCDS66808.1
69,CCDS9236.1
70,CCDS63327.1
71,CCDS55750.1
72,CCDS956.1
73,CCDS44896.1
74,CCDS14196.1
75,CCDS14448.1
76,CCDS61438.1
77,CCDS56360.1
78,CCDS58670.1
79,CCDS34008.1
80,CCDS47892.1
81,CCDS34330.1
82,CCDS671.1
83,CCDS43039.1
84,CCDS86205.1
85,CCDS73462.1
86,CCDS46126.1
87,CCDS2041.1
88,CCDS59002.1
89,CCDS30925.1
90,CCDS48174.1
91,CCDS32231.1
92,CCDS3542.1
93,CCDS56529.1
94,CCDS43221.1
95,CCDS13293.1
96,CCDS42063.1
97,CCDS2166.1
98,CCDS12796.1
99,CCDS75954.1
100,CCDS75104.1
